"","Class","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"218","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"219","democrat","y",NA,"y","n","n","n","y","y","y","n",NA,"n","n","n","y",NA
"220","democrat","n","y","y","n","n","n","n","y","y","n","y","n","n","y","y","y"
"221","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y",NA
"222","democrat","n","y","y","n","y","y","n","n","n","n","y","n","n","n","y",NA
"223","democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y",NA
"224","republican","n","n","n","y","y","n","n","n","n","n","n","y","y","y","n","y"
"225","republican","n","y","n","y","y","y","n","n","n","y","n",NA,"y","y","n","n"
"226","republican","n",NA,"n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"227","democrat","n","n","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
"228","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n",NA,"y"
"229","republican","n","y","n","y","y","y","n","n","n","n","n","y","y",NA,"n","y"
"230","republican","n","y","y","y","y","y","y","n","y","y","n","y","y","y","n","y"
"231","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"232","republican","n","y","n","y","y","y","n","n","y","y","n","y","y","y","n","y"
"233","democrat","n","y","y","n","n","n","y","y","n","n","y","n","n","n","y",NA
"234","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"235","democrat","n","n","y","n","n","y","y","y","y","y","n","y","n","y","y",NA
"236","republican","n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
"237","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"238","democrat","y","n","y","n","n","y","y","y","n","n","n","y","y","n","n","y"
"239","democrat","y","y","y","n","n","n","y","y",NA,"y","n","n","n","n","y",NA
"240","republican","n","n","n","y","y","y","y","n","n","y","n","n","n","y","y","y"
"241","republican","n","n","n","y","n","y","y",NA,"y","n","n","y","y","y","n","y"
"242","democrat","y","n","y","n","n","n","y","y","y","y","y","n","n","y","y","y"
"243","republican","n","n","n","n","y","y","y","n","n","n","n",NA,"n","y","y","y"
"244","democrat","n","y","y","n","n","n","y","y",NA,"y","n","n","y","n","y","y"
"245","democrat","y","n","y","n","n","n","n","y","y","y","n","n","n","n","y","y"
"246","democrat","y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"247","democrat","n","n","y","n","y","n","y","y","y","n","n","n","n","y",NA,"y"
"248","republican","n","y","n","y","y","y",NA,"n","n","n","n",NA,"y","y","n","n"
"249","republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","democrat","y","n","y","n","n","n","y","y",NA,"n","y","n","n","n","y","y"
"251","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"252","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"253","democrat","y","y","y","n","n","y","y","y","y","n","n","n","n","n","y","y"
"254","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"255","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"256","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","y","y","y"
"257","republican","n","n","n","y","y","n","n","n","n","n","n","y","n","y","n","n"
"258","republican","n","n","n","y","y","n","n","n","n","n","n","y","n","y",NA,"y"
"259","democrat","n","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"260","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"261","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"262","democrat","y","n","y","n","n",NA,"y","y","y","n",NA,NA,"n",NA,NA,NA
"263","democrat","y","n","y","n","n","n","y","y","y","y","n","n",NA,"n","y","y"
"264","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y",NA
"265","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y",NA
"266","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"267","republican","n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
"268","republican","y","n","n","n","n","n","y","y","y","y","n","n","n","y","n","y"
"269","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y",NA
"270","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"271","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"272","democrat","n","y","y","n","n","y","y","y","y","n",NA,"n","n","n","n","y"
"273","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y",NA
"274","republican","n","n","n","y","y","n","y","y","n","y","n","y","y","y",NA,"y"
"275","republican","y","n","n","y","y","n","y","n","n","y","n","n","n","y","y","y"
"276","democrat","n","n","y","n","y","y","n","n","n","n",NA,"n","y","y","n","n"
"277","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","y","n"
"278","republican","n","n","y","y","y","y","y","y","n","y","n","n","n","y","n","y"
"279","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"280","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"281","democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","y","n","y"
"282","republican","y","n","y","y","y","y","y","y","n","n","n","n","n","y","n",NA
"283","republican","y","n","n","y","y","y","n","n","n","y","n",NA,"y","y","n","n"
"284","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"285","democrat","n","n","y","n","n","y","y","y","y","y","y","n","n","n",NA,"y"
"286","democrat","n","n","y","n","n","y","y","y","y","y","y","n","n","n","y","y"
"287","democrat","n","n","y","n","n","y",NA,"y",NA,"y","y","y","n","y","y",NA
"288","democrat","y","y","y",NA,"n","y","y","y","y","n","y","n","y","n",NA,"y"
"289","democrat","y","y","y","n","y","y","n","y","n","y","y","n","y","y","y","y"
"290","democrat","y","y","y","n","y","y","n","y","n","y","y","n","y","y","n",NA
"291","democrat","y","n","y","n",NA,"y",NA,"y","y","y","n","n","y","y","n","y"
"292","democrat","y","n","y","n","n","y","y","y","y","y","n",NA,"n","y","n","y"
"293","democrat","y","n","y","n","n","y","y","y","n","y","y","n","y","y","y","y"
"294","democrat","y","y","y","n","n","y","y","y","y","y","y","n","y","y","y","y"
"295","democrat","n","y","y","n","n","y","y","y","n","y","y","n","y","y","n",NA
"296","republican","n","y","n","y","y","y",NA,NA,"n","y","n","y",NA,NA,NA,NA
"297","republican","n","n","y","y","y","y","n","n","n","y","n","y","y","y","y","y"
"298","democrat","y","y","y","n","n","y","y","y","y","y","n","n",NA,"n","y",NA
"299","democrat","n","y","n","n","n","n","y","y","y","y","y","n","n","n","y","y"
"300","democrat","n","y","y","n","n","y","y","y","y","y","n","n","y","y","y","y"
"301","republican","n","n","n","y","y","n","y","y","y","y","n","y","y","y","n","y"
"302","democrat","n","n",NA,"n","n","y","y","y","y","n","n","n","n","n","y","y"
"303","republican","n","n","n","y","y","y","y","n","n","y","n","y","y","y","n","y"
"304","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"305","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n",NA
"306","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"307","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"308","democrat","y","n","y","n","n","y","y","y","y","n","n","n","n","y","n",NA
"309","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"310","democrat","y","n","n","n","n","y","y","y","y","y","n","n","n","y","y","y"
"311","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","y","n"
"312","democrat","n","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y"
"313","democrat","y","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"314","republican","n","y","y","y","y","y","n","n","n","y","n","y","y","y","n","y"
"315","republican","n","y","n","y","y","y","y","y","n","n","y","y","y","y","y","y"
"316","republican","n","y","y","y","y","y","y",NA,"n","n","n","n",NA,NA,"y",NA
"317","democrat","n","n","n","n","n","y","n","y","y","n","y","y","y","y","y","n"
"318","democrat","y","n","n","n","n","n","y","y","y","y","n","n","n","n","y","y"
"319","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y",NA
"320","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y",NA
"321","democrat","n","y","y","n","n","y","n","y","y","y","n","n","y","y","n","y"
"322","democrat","y","y","y","n","n","n","y","y","y","y","n","n","y","n","n","y"
"323","democrat","y","y","y","n",NA,"y","n",NA,"n","n","y","n","y","y","n",NA
"324","democrat","y","y","y","n","y","y","n","y",NA,"y","n","n","y","y","n",NA
"325","republican","n","y","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
"326","democrat","n","y","n","n","y","y","n","n",NA,"n","n","y","y","y","n","y"
"327","democrat","y","y","n","y","n","n","y","y","y","n","y","n","n","y","n","y"
"328","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"329","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y"
"330","democrat","y",NA,"y","n","n","y","y","y","y","y","n","n","n","n","y",NA
"331","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"332","democrat","y",NA,"y","n","n","n","y","y","y","n","n","n","n","n","y",NA
"333","democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y",NA
"334","democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"335","democrat","n","y","y","n","n","y","y","y",NA,"n","y","y","n","n","y","y"
"336","republican","n","n","n","y","y","y","n","n","n","y","y","y","y","y","n",NA
"337","democrat","n","n","y","n","n","y","y","y","n","n","y","n","n","y",NA,"y"
"338","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"339","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","y","y","y"
"340","republican","y","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
"341","republican","n","n","n","y","y","y","n","n","n","y","y","y","n","y","n","y"
"342","democrat","n",NA,"y",NA,"n","y","y","y","y","y","y","n",NA,NA,"y","y"
"343","democrat","n","y","y","n","y",NA,"y","n","n","y","y","n","y","n","y","y"
"344","republican","n","n","n","y","y","n","y","n","y","y","n","n","n","y","n","y"
"345","democrat","n","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"346","republican","n","n","n","y","y","y","y","n","n","y","n","y","n","y","y","y"
"347","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"348","republican","y","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"349","democrat","y","n","y","n","n","n","y","y","y","y","n","y","n","n","y",NA
"350","republican","n","y","y","y","y","y","y","y","y","n","n","y","y","y","n","y"
"351","democrat","n","y","n","n","n","y","y","n","y","n","y","n","n","n","y","y"
"352","republican","n","n","y","y","y","y","y","y","y","y","n","y","y","y","y","y"
"353","democrat","n","y","n","y","n","y","y","y","y","n","y","n","y","n","y",NA
"354","republican","n","n","y","y","y","y","y","n","n","y","y","y","y","y","n","y"
"355","democrat","n","y","y","n","n","y","y","y","y","y","n",NA,"n","n","y","y"
"356","republican","y","n","y","y","n","n","n","y","y","y","n","n","n","y","y","y"
"357","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"358","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"359","democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","y","n",NA
"360","republican","n","n","n","y","y","y","n","n","n","y",NA,"y","y","y","n","y"
"361","democrat","y","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y"
"362","democrat","y","n","y","n","y","y","y","n","y","y","n","n","y","y","n",NA
"363","democrat","y","y","y","n","n","y","y","y","y","y","y","y","y","n","n","y"
"364","republican","y","y","n","y","y","y","n","n","n","y","y","n","y","n","n","n"
"365","republican","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y"
"366","democrat","n","y","n","n","y","y","n","n","n","y","y","n","y","y","n","n"
"367","democrat","y","n","y","n","n","n","y","y","n","y","y","n","n","n","n",NA
"368","democrat","y","y","y","n","y","y","y","y","n","y","y","n","n","n","y",NA
"369","democrat","n","y","y","n","n","y","y","y","n","y","n","n","n","n","y","y"
"370","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
"371","democrat","y","y","y","n",NA,"y","y","y","n","y",NA,NA,"n","n","y","y"
"372","democrat","y","y","y","n",NA,"n","y","y","y","y","n","n","n","n","y",NA
"373","democrat","n","y","y","y","y","y","n","n","n","n","y","y",NA,"y","n","n"
"374","democrat","n","y","y",NA,"y","y","n","y","n","y",NA,"n","y","y",NA,"y"
"375","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"376","democrat","n","y","n","y","y","y","n","n","n","n","y","y","n","y","n","n"
"377","democrat","y",NA,"y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"378","republican","n","y","n","y","y","y",NA,NA,"n","n",NA,NA,"y",NA,NA,NA
"379","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"380","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"381","democrat","y","y","y","n","n","y",NA,"y","y","n","y","n","y","n","y","y"
"382","democrat","y","y","y","n","y","y","y","y","y","y","y","n","y","y","n",NA
"383","democrat","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n",NA
"384","democrat","y","y","y","n","y","y","n","y","y","y","y","n","n","n","n","y"
"385","democrat","y","y","y","y","y","y","n","n","n","n","y","y","y","y","n","y"
"386","democrat","y","y","n","n","y","y","n","n","n","n","y","y","y","y","y","n"
"387","democrat","n",NA,"y","n","y","y","n","y","n","n","y","n","n","n","n",NA
"388","democrat","y","y","y","n","y","y","n","y","y","n","y","n","n","y","n",NA
"389","democrat","n","y","y","y","y","y","n","n","n","n","n","y","y","y","n",NA
"390","democrat","y","n","y","n","n","n","y","y","y",NA,"y","n","n","n","y",NA
"391","democrat",NA,NA,"n","n",NA,"y",NA,"n","n","n","y","y","n","y","n",NA
"392","democrat","y","y","n","n","n","n","n","y","y","n","y","n","n","n","y","n"
"393","republican","y","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"394","republican",NA,NA,NA,NA,"n","y","n","y","y","n","n","y","y","n","n",NA
"395","democrat","y","y",NA,NA,NA,"y","n","n","n","n","y","n","y","n","n","y"
"396","democrat","y","y","y",NA,"n","n","n","y","n","n","y",NA,"n","n","y","y"
"397","democrat","y","y","y","n","y","y","n","y","n","n","y","n","y","n","y","y"
"398","democrat","y","y","n","n","y",NA,"n","n","n","n","y","n","y","y","n","y"
"399","democrat","n","y","y","n","y","y","n","y","n","n","n","n","n","n","n","y"
"400","republican","n","y","n","y",NA,"y","n","n","n","y","n","y","y","y","n","n"
"401","republican","n","y","n","y","y","y","n",NA,"n","n",NA,NA,NA,"y","n",NA
"402","republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n"
"403","republican",NA,"n","y","y","n","y","y","y","y","y","n","y","n","y","n","y"
"404","republican","n","y","n","y","y","y","n","n","n","y","n","y",NA,"y","n","n"
"405","republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"406","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"407","democrat","y","n","y","n","y","y","n","n","y","y","n","n","y","y","n","y"
"408","democrat","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
"409","democrat","y","n","y","n","n","y","y","y","y","n","n","y",NA,"y","y","y"
"410","republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"411","republican","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"412","democrat","y","n","y","n","n","y","y","y","y","y","y","n","n","n","n","y"
"413","republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"414","republican","y","y","y","y","y","y","y","y","n","y",NA,NA,NA,"y","n","y"
"415","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"416","democrat","n","y","y","n","n","y","y","y",NA,"y","n","n","n","n","n","y"
"417","republican","y","y","n","y","y","y","n","n","n","y","n","n","y","y","n","y"
"418","democrat","y","y","y","n","n","n","y","y","y","y","y","n","y","n","n","y"
"419","democrat","y","y","y","n","n","n","y","y","n","y","n","n","n","n","n","y"
"420","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"421","republican","y","y","y","y","y","y","y","y","n","y","n","n","y","y","n","y"
"422","democrat","n","y","y","n","y","y","y","y","n","n","y","n","y","n","y","y"
"423","democrat","n","n","y","n","n","y","y","y","y","n","y","n","n","n","y","y"
"424","democrat","n","y","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
"425","democrat","n","y","y","n","n",NA,"y","y","y","y","y","n",NA,"y","y","y"
"426","democrat","n","n","y","n","n","n","y","y","n","y","y","n","n","n","y",NA
"427","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"428","republican","n","n","n","y","y","y","y","y","n","y","n","y","y","y","n","y"
"429","democrat",NA,NA,NA,"n","n","n","y","y","y","y","n","n","y","n","y","y"
"430","democrat","y","n","y","n",NA,"n","y","y","y","y","n","y","n",NA,"y","y"
"431","republican","n","n","y","y","y","y","n","n","y","y","n","y","y","y","n","y"
"432","democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
"433","republican","n",NA,"n","y","y","y","n","n","n","n","y","y","y","y","n","y"
"434","republican","n","n","n","y","y","y",NA,NA,NA,NA,"n","y","y","y","n","y"
"435","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y",NA,"n"
