,text
0,
1,Bright star! would I were steadfast as thou art
2,"Not in lone splendour hung aloft the night,"
3,"And watching, with eternal lids apart,"
4,"Like Nature’s patient sleepless Eremite,"
5,The moving waters at their priestlike task
6,"Of pure ablution round earth’s human shores,"
7,Or gazing on the new soft fallen mask
8,Of snow upon the mountains and the moors
9,"Noyet still steadfast, still unchangeable,"
10,"Pillow’d upon my fair love’s ripening breast,"
11,"To feel for ever its soft fall and swell,"
12,"Awake for ever in a sweet unrest,"
13,"Still, still to hear her tender-taken breath,"
14,And so live everor else swoon to death.
15,"Highmindedness, a jealousy for good,"
16,"A loving-kindness for the great man’s fame,"
17,"Dwells here and there with people of no name,"
18,"In noisome alley, and in pathless wood:"
19,"And where we think the truth least understood,"
20,"Oft may be found a “singleness of aim,”"
21,That ought to frighten into hooded shame
22,"A money mong’ling, pitiable brood."
23,How glorious this affection for the cause
24,"Of stedfast genius, toiling gallantly!"
25,What when a stout unbending champion awes
26,"Envy, and Malice to their native sty?"
27,"Unnumber’d souls breathe out a still applause,"
28,Proud to behold him in his country’s eye.
29,
30,As from the darkening gloom a silver dove
31,"Upsoars, and darts into the eastern light,"
32,"On pinions that nought moves but pure delight,"
33,"So fled thy soul into the realms above,"
34,Regions of peace and everlasting love;
35,"Where happy spirits, crown’d with circlets bright"
36,"Of starry beam, and gloriously bedight,"
37,Taste the high joy none but the blest can prove.
38,There thou or joinest the immortal quire
39,In melodies that even heaven fair
40,"Fill with superior bliss, or, at desire,"
41,"Of the omnipotent Father, cleav’st the air"
42,On holy message sent  What pleasure’s higher?
43,Wherefore does any grief our joy impair?
44,
45,Happy is England! I could be content
46,To see no other verdure than its own;
47,To feel no other breezes than are blown
48,Through its tall woods with high romances blent:
49,Yet do I sometimes feel a languishment
50,"For skies Italian, and an inward groan"
51,"To sit upon an Alp as on a throne,"
52,And half forget what world or worldling meant.
53,"Happy is England, sweet her artless daughters;"
54,"Enough their simple loveliness for me,"
55,Enough their whitest arms in silence clinging:
56,Yet do I often warmly burn to see
57,"Beauties of deeper glance, and hear their singing,"
58,And float with them about the summer waters.
59,
60,How many bards gild the lapses of time!
61,A few of them have ever been the food
62,"Of my delighted fancy,I could brood"
63,"Over their beauties, earthly, or sublime:"
64,"And often, when I sit me down to rhyme,"
65,These will in throngs before my mind intrude:
66,"But no confusion, no disturbance rude"
67,Do they occasion; ’tis a pleasing chime.
68,So the unnumber’d sounds that evening store;
69,The songs of birdsthe whisp’ring of the leaves
70,The voice of watersthe great bell that heaves
71,"With solemn sound,and thousand others more,"
72,"That distance of recognizance bereaves,"
73,"Make pleasing music, and not wild uproar."
74,
75,Glory and loveliness have pass’d away;
76,"For if we wander out in early morn,"
77,No wreathed incense do we see upborne
78,"Into the east, to meet the smiling day:"
79,"No crowd of nymphs soft voic’d and young, and gay,"
80,"In woven baskets bringing ears of corn,"
81,"Roses, and pinks, and violets, to adorn"
82,The shrine of Flora in her early May.
83,"But there are left delights as high as these,"
84,"And I shall ever bless my destiny,"
85,"That in a time, when under pleasant trees"
86,"Pan is no longer sought, I feel a free,"
87,"A leafy luxury, seeing I could please"
88,"With these poor offerings, a man like thee."
89,
90,"Blue! ‘Tis the life of heaven,–the domain"
91,"Of Cynthia,–the wide palace of the sun,–"
92,"The tent of Hesperus and all his train,–"
93,"The bosomer of clouds, gold, grey and dun."
94,Blue! ‘Tis the life of waters–ocean
95,And all its vassal streams: pools numberless
96,"May rage, and foam, and fret, but never can"
97,Subside if not to dark-blue nativeness.
98,"Blue! gentle cousin of the forest green,"
99,"Married to green in all the sweetest flowers,"
100,"Forget-me-not,–the blue-bell,–and, that queen"
101,"Of secrecy, the violet: what strange powers"
102,"Hast thou, as a mere shadow! But how great,"
103,When in an Eye thou art alive with fate!
104,
105,"Before he went to live with owls and bats,"
106,"Nebuchadnezzar had an ugly dream,"
107,"Worse than a housewife’s, when she thinks her cream"
108,Made a naumachia for mice and rats:
109,"So scared, he sent for that “good kind of cats,”"
110,"Young Daniel, who did straightway pluck the beam"
111,"From out his eye, and said – “I do not deem"
112,"Your sceptre worth a straw, your cushions old door mats.”"
113,"A horrid nightmare, similar somewhat,"
114,Of late has haunted a most valiant crew
115,Of loggerheads and chapmen; – we are told
116,"That any Daniel, though he be a sot,"
117,"Can make their lying lips turn pale of hue,"
118,By drawing out – “Ye are that head of gold!”
119,
120,"Keen, fitful gusts are whisp’ring here and there"
121,"Among the bushes half leafless, and dry;"
122,"The stars look very cold about the sky,"
123,And I have many miles on foot to fare.
124,"Yet feel I little of the cool bleak air,"
125,"Or of the dead leaves rustling drearily,"
126,"Or of those silver lamps that burn on high,"
127,Or of the distance from home’s pleasant lair:
128,For I am brimfull of the friendliness
129,That in a little cottage I have found;
130,"Of fair-hair’d Milton’s eloquent distress,"
131,And all his love for gentle Lycid drown’d;
132,"Of lovely Laura in her light green dress,"
133,And faithful Petrarch gloriously crown’d.
134,
135,"Nature withheld Cassandra in the skies,"
136,"For more adornment, a full thousand years;"
137,"She took their cream of Beauty, fairest dyes,"
138,And shaped and tinted her above all peers:
139,"Meanwhile Love kept her dearly with his wings,"
140,And underneath their shadow filled her eyes
141,With such a richness that the cloudy Kings
142,Of high Olympus uttered slavish sighs.
143,"When from the Heavens I saw her first descend,"
144,"My heart took fire, and only burning pains…"
145,They were my pleasures  they my Life’s sad end;
146,Love poured her beauty into my warm veins. …
147,
148,Of late two dainties were before me plac’d
149,"Sweet, holy, pure, sacred and innocent,"
150,From the ninth sphere to me benignly sent
151,That Gods might know my own particular taste.
152,"First the soft Bag-pipe mourn’d with zealous haste,"
153,The Stranger next with head on bosom bent
154,"Sigh’d; rueful again the piteous Bag-pipe went,"
155,Again the Stranger sighings fresh did waste.
156,O Bag-pipe thou didst steal my heart away–
157,O stranger thou my nerves from Pipe didst charm–
158,O Bag-pipe thou didst re-assert thy sway–
159,Again thou Stranger gav’st me fresh alarm–
160,"Alas! I could not choose. Ah! my poor heart,"
161,Mum chance art thou with both oblig’d to part.
162,
163,"O Solitude! if I must with thee dwell,"
164,Let it not be among the jumbled heap
165,"Of murky buildings; climb with me the steep,"
166,"Nature’s observatorywhence the dell,"
167,"Its flowery slopes, its river’s crystal swell,"
168,May seem a span; let me thy vigils keep
169,"’Mongst boughs pavillion’d, where the deer’s swift leap"
170,Startles the wild bee from the fox-glove bell.
171,"But though I’ll gladly trace these scenes with thee,"
172,"Yet the sweet converse of an innocent mind,"
173,"Whose words are images of thoughts refin’d,"
174,Is my soul’s pleasure; and it sure must be
175,"Almost the highest bliss of human-kind,"
176,When to thy haunts two kindred spirits flee.
177,2<strong><em><a class=spell href=https://www.google.com.ua/search?biw=242&amp;bih=545&amp;q=Short+analyze&amp;spell=&amp;sa=X&amp;ved=ahUKEwj2tIyr3oTLAhWG83IKHdfBCUkQvwUIFygA>Short <i>analyze</i></a>:</em></strong>
178,
179,"Oh! how I love, on a fair summer’s eve,"
180,"When streams of light pour down the golden west,"
181,And on the balmy zephyrs tranquil rest
182,"The silver clouds, far – far away to leave"
183,"All meaner thoughts, and take a sweet reprieve"
184,"Fromm little cares; to find, with easy quest,"
185,"A fragrant wild, with Nature’s beauty drest,"
186,And there into the delight my soul deceive.
187,"There warm my breast with patriotic lore,"
188,Musing on Milton’s fate – on Sydney’s bier –
189,Till their stern forms before my mind arise:
190,"Perhaps on wing of Poesy upsoar,"
191,"Full often dropping a delicious tear,"
192,When some melodious sorrow spells mine eyes.
193,
194,<em>«You cannot eat your cake and have it too.» – Proverb.</em>
195,"2How fever’d is the man, who cannot look"
196,"Upon his mortal days with temperate blood,"
197,"Who vexes all the leaves of his life’s book,"
198,And robs his fair name of its maidenhood;
199,"It is as if the rose should pluck herself,"
200,"On the ripe plum finger its misty bloom,"
201,"As if a Naiad, like a meddling elf,"
202,Should darken her pure grot with muddy gloom:
203,"But the rose leaves herself upon the briar,"
204,"For winds to kiss and grateful bees to feed,"
205,"And the ripe plum still wears its dim attire,"
206,The undisturbed lake has crystal space;
207,"Why then should man, teasing the world for grace,"
208,Spoil his salvation for a fierce miscreed?
209,
210,"Much have I travell’d in the realms of gold,"
211,And many goodly states and kingdoms seen;
212,Round many western islands have I been
213,Which bards in fealty to Apollo hold.
214,Oft of one wide expanse had I been told
215,That deep-brow’d Homer ruled as his demesne;
216,Yet did I never breathe its pure serene
217,Till I heard Chapman speak out loud and bold:
218,Then felt I like some watcher of the skies
219,When a new planet swims into his ken;
220,Or like stout Cortez when with eagle eyes
221,He star’d at the Pacificand all his men
222,Look’d at each other with a wild surmise
223,"Silent, upon a peak in Darien."
224,
225,"Fame, like a wayward girl, will still be coy"
226,"To those who woo her with too slavish knees,"
227,"But makes surrender to some thoughtless boy,"
228,And dotes the more upon a heart at ease;
229,"She is a Gipsey,will not speak to those"
230,Who have not learnt to be content without her;
231,"A Jilt, whose ear was never whisper’d close,"
232,Who thinks they scandal her who talk about her;
233,"A very Gipsey is she, Nilus-born,"
234,Sister-in-law to jealous Potiphar;
235,Ye love-sick Bards! repay her scorn for scorn;
236,Ye Artists lovelorn! madmen that ye are!
237,"Make your best bow to her and bid adieu,"
238,"Then, if she likes it, she will follow you."
239,
240,My spirit is too weakmortality
241,"Weighs heavily on me like unwilling sleep,"
242,And each imagined pinnacle and steep
243,Of godlike hardship tells me I must die
244,Like a sick eagle looking at the sky.
245,Yet ’tis a gentle luxury to weep
246,That I have not the cloudy winds to keep
247,Fresh for the opening of the morning’s eye.
248,Such dim-conceived glories of the brain
249,Bring round the heart an undescribable feud;
250,"So do these wonders a most dizzy pain,"
251,That mingles Grecian grandeur with the rude
252,Wasting of old timewith a billowy main
253,A suna shadow of a magnitude.
254,
255,"Give me a golden pen, and let me lean"
256,"On heap’d up flowers, in regions clear, and far;"
257,"Bring me a tablet whiter than a star,"
258,"Or hand of hymning angel, when ’tis seen"
259,The silver strings of heavenly harp atween:
260,"And let there glide by many a pearly car,"
261,"Pink robes, and wavy hair, and diamond jar,"
262,"And half discovered wings, and glances keen."
263,"The while let music wander round my ears,"
264,"And as it reaches each delicious ending,"
265,"Let me write down a line of glorious tone,"
266,And full of many wonders of the spheres:
267,For what a height my spirit is contending!
268,’Tis not content so soon to be alone.
269,
270,"O golden tongued Romance, with serene lute!"
271,"Fair plumed Syren, Queen of far-away!"
272,"Leave melodizing on this wintry day,"
273,"Shut up thine olden pages, and be mute:"
274,Adieu! for once again the fierce dispute
275,Betwixt damnation and impassion’d clay
276,Must I burn through; once more humbly assay
277,The bitter-sweet of this Shakespearian fruit.
278,"Chief Poet! and ye clouds of Albion,"
279,Begetters of our deep eternal theme!
280,"When through the old oak Forest I am gone,"
281,"Let me not wander in a barren dream,"
282,"But when I am consumed in the fire,"
283,Give me new Phoenix wings to fly at my desire.
284,
285,The poetry of earth is never dead:
286,"When all the birds are faint with the hot sun,"
287,"And hide in cooling trees, a voice will run"
288,From hedge to hedge about the new-mown mead;
289,That is the Grasshopper’she takes the lead
290,"In summer luxury,he has never done"
291,With his delights; for when tired out with fun
292,He rests at ease beneath some pleasant weed.
293,The poetry of earth is ceasing never:
294,"On a lone winter evening, when the frost"
295,"Has wrought a silence, from the stove there shrills"
296,"The Cricket’s song, in warmth increasing ever,"
297,"And seems to one in drowsiness half lost,"
298,The Grasshopper’s among some grassy hills.
299,"2<em>December 3, 86.</em>"
300,
301,"If by dull rhymes our English must be chain’d,"
302,"And, like Andromeda, the Sonnet sweet"
303,"Fetter’d, in spite of pained loveliness;"
304,"Let us find out, if we must be constrain’d,"
305,Sandals more interwoven and complete
306,To fit the naked foot of poesy;
307,"Let us inspect the lyre, and weigh the stress"
308,"Of every chord, and see what may be gain’d"
309,"By ear industrious, and attention meet:"
310,"Misers of sound and syllable, no less"
311,"Than Midas of his coinage, let us be"
312,Jealous of dead leaves in the bay wreath crown;
313,"So, if we may not let the Muse be free,"
314,She will be bound with garlands of her own.
315,
316,O Peace! and dost thou with thy presence bless
317,The dwellings of this war-surrounded Isle;
318,"Soothing with placid brow our late distress,"
319,Making the triple kingdom brightly smile?
320,Joyful I hail thy presence; and I hail
321,The sweet companions that await on thee;
322,"Complete my joy let not my first wish fail,"
323,"Let the sweet mountain nymph thy favourite be,"
324,With England’s happiness proclaim Europa’s Liberty.
325,O Europe! let not sceptred tyrants see
326,That thou must shelter in thy former state;
327,"Keep thy chains burst, and boldly say thou art free;"
328,Give thy kings law leave not uncurbed the great ;
329,So with the horrors past thou’lt win thy happier fate!
330,
331,<a href=http://www.lordbyronpoems.com/ target=_blank>Byron</a>! how sweetly sad thy melody!
332,"Attuning still the soul to tenderness,"
333,"As if soft Pity, with unusual stress,"
334,"Had touch’d her plaintive lute, and thou, being by,"
335,"Hadst caught the tones, nor suffer’d them to die."
336,O’ershadowing sorrow doth not make thee less
337,Delightful: thou thy griefs dost dress
338,"With a bright halo, shining beamily,"
339,"As when a cloud the golden moon doth veil,"
340,"Its sides are ting’d with a resplendent glow,"
341,"Through the dark robe oft amber rays prevail,"
342,And like fair veins in sable marble flow;
343,"Still warble, dying swan! still tell the tale,"
344,"The enchanting tale, the tale of pleasing woe."
345,
346,O Chatterton! how very sad thy fate!
347,Dear child of sorrow – son of misery!
348,"How soon the film of death obscur’d that eye,"
349,"Whence Genius mildly flash’d, and high debate."
350,"How soon that voice, majestic and elate,"
351,Melted in dying numbers! Oh! how nigh
352,Was night to thy fair morning. Thou didst die
353,A half-blown flow’ret which cold blasts amate.
354,But this is past: thou art among the stars
355,Of highest Heaven: to the rolling spheres
356,"Thou sweetly singest: naught thy hymning mars,"
357,Above the ingrate world and human fears.
358,On earth the good man base detraction bars
359,"From thy fair name, and waters it with tears."
360,
361,This mortal body of a thousand days
362,"Now fills, O Burns, a space in thine own room,"
363,"Where thou didst dream alone on budded bays,"
364,Happy and thoughtless of thy day of doom!
365,"My pulse is warm with thine old barley-bree,"
366,"My head is light with pledging a great soul,"
367,"My eyes are wandering, and I cannot see,"
368,Fancy is dead and drunken at its goal;
369,"Yet can I stamp my foot upon thy floor,"
370,Yet can I ope thy window-sash to find
371,"The meadow thou hast tramped o’er and o’er,–"
372,"Yet can I think of thee till thought is blind,–"
373,"Yet can I gulp a bumper to thy name,–"
374,"O smile among the shades, for this is fame!"
375,
376,"Spenser! a jealous honourer of thine,"
377,"A forester deep in thy midmost trees,"
378,Did last eve ask my promise to refine
379,Some English that might strive thine ear to please.
380,But Elfin Poet ’tis impossible
381,For an inhabitant of wintry earth
382,To rise like Phoebus with a golden quill
383,Fire-wing’d and make a morning in his mirth.
384,It is impossible to escape from toil
385,O’ the sudden and receive thy spiriting:
386,The flower must drink the nature of the soil
387,Before it can put forth its blossoming:
388,"Be with me in the summer days, and I"
389,Will for thine honour and his pleasure try.
390,
391,"Had I a man’s fair form, then might my sighs"
392,Be echoed swiftly through that ivory shell
393,"Thine ear, and find thy gentle heart; so well"
394,Would passion arm me for the enterprise:
395,But ah! I am no knight whose foeman dies;
396,No cuirass glistens on my bosom’s swell;
397,I am no happy shepherd of the dell
398,Whose lips have trembled with a maiden’s eyes.
399,"Yet must I doat upon thee,  call thee sweet,"
400,Sweeter by far than Hybla’s honey’d roses
401,When steep’d in dew rich to intoxication.
402,"Ah! I will taste that dew, for me ’tis meet,"
403,"And when the moon her pallid face discloses,"
404,"I’ll gather some by spells, and incantation."
405,
406,"As late I rambled in the happy fields,"
407,What time the sky-lark shakes the tremulous dew
408,From his lush clover covert;when anew
409,Adventurous knights take up their dinted shields:
410,"I saw the sweetest flower wild nature yields,"
411,A fresh-blown musk-rose; ’twas the first that threw
412,Its sweets upon the summer: graceful it grew
413,As is the wand that queen Titania wields.
414,"And, as I feasted on its fragrancy,"
415,I thought the garden-rose it far excell’d:
416,"But when, O Wells! thy roses came to me"
417,My sense with their deliciousness was spell’d:
418,"Soft voices had they, that with tender plea"
419,"Whisper’d of peace, and truth, and friendliness unquell’d."
420,
421,"Hearken, thou craggy ocean pyramid!"
422,"Give answer from thy voice, the sea-fowl’s screams!"
423,When were thy shoulders mantled in huge streams!
424,"When, from the sun, was thy broad forehead hid?"
425,How long is ‘t since the mighty power bid
426,Thee heave to airy sleep from fathom dreams?
427,"Sleep in the lap of thunder or sun-beams,"
428,Or when gray clouds are thy cold cover-lid?
429,"Thou answer’st not, for thou art dead asleep!"
430,Thy life is but two dead eternities 
431,"The last in air, the former in the deep;"
432,"First with the whales, last with the eagle-skies "
433,"Drown’d wast thou till an earthquake made thee steep,"
434,Another cannot wake thy giant size.
435,
436,"Nymph of the downward smile, and sidelong glance,"
437,In what diviner moments of the day
438,Art thou most lovely? When gone far astray
439,Into the labyrinths of sweet utterance?
440,Or when serenely wand’ring in a trance
441,"Of sober thought? Or when starting away,"
442,"With careless robe, to meet the morning ray,"
443,Thou spar’st the flowers in thy mazy dance?
444,"Haply ’tis when thy ruby lips part sweetly,"
445,"And so remain, because thou listenest:"
446,But thou to please wert nurtured so completely
447,That I can never tell what mood is best.
448,I shall as soon pronounce which grace more neatly
449,Trips it before Apollo than the rest.
450,
451,"Good Kosciusko, thy great name alone"
452,Is a full harvest whence to reap high feeling;
453,It comes upon us like the glorious pealing
454,Of the wide spheresan everlasting tone.
455,"And now it tells me, that in worlds unknown,"
456,"The names of heroes, burst from clouds concealing,"
457,"And changed to harmonies, for ever stealing"
458,"Through cloudless blue, and round each silver throne."
459,"It tells me too, that on a happy day,"
460,"When some good spirit walks upon the earth,"
461,"Thy name with Alfred’s, and the great of yore"
462,"Gently commingling, gives tremendous birth"
463,"To a loud hymn, that sounds far, far away"
464,To where the great God lives for evermore.
465,
466,"Haydon! Forgive me, that I cannot speak"
467,Definitively on these mighty things;
468,Forgive me that I have not Eagle’s wings
469,That what I want I know not where to seek:
470,And think that I would not be over meek
471,"In rolling out upfollow’d thunderings,"
472,"Even to the steep of Helciconian springs,"
473,Were I of ample strength for such a freak
474,Think too that all those numbers should be thine;
475,Whose else? In this who touch thy vesture’s hem?
476,For when men star’d at what was most divine
477,With browless idiotismo’erwise phlegm
478,Thou hadst beheld the Hesperean shine
479,"Of their star in the East, and gone to worship them."
480,
481,"Cat! who hast passed thy grand climacteric,"
482,How many mice and rats hast in thy days
483,Destroyed? How many tit-bits stolen? Gaze
484,"With those bright languid segments green, and prick"
485,Those velvet ears – but prithee do not stick
486,"Thy latent talons in me, and up-raise"
487,"Thy gentle mew, and tell me all thy frays"
488,"Of fish and mice, and rats and tender chick."
489,"Nay, look not down, nor lick thy dainty wrists –"
490,"For all thy wheezy asthma, and for all"
491,"Thy tail’s tip is nicked off, and though the fists"
492,"Of many a maid have given thee many a maul,"
493,Still is that fur as soft as when the lists
494,In youth thou enteredst on glass-bottled wall.
495,
496,"Small, busy flames play through the fresh laid coals,"
497,And their faint cracklings o’er our silence creep
498,Like whispers of the household gods that keep
499,A gentle empire o’er fraternal souls.
500,"And while, for rhymes, I search around the poles,"
501,"Your eyes are fix’d, as in poetic sleep,"
502,"Upon the lore so voluble and deep,"
503,That aye at fall of night our care condoles.
504,"This is your birth-day Tom, and I rejoice"
505,"That thus it passes smoothly, quietly."
506,Many such eves of gently whisp’ring noise
507,"May we together pass, and calmly try"
508,"What are this world’s true joys,ere the great voice,"
509,"From its fair face, shall bid our spirits fly."
510,
511,Many the wonders I this day have seen:
512,"The sun, when first he kist away the tears"
513,That fill’d the eyes of morn;the laurel’d peers
514,Who from the feathery gold of evening lean;
515,"The ocean with its vastness, its blue green,"
516,"Its ships, its rocks, its caves, its hopes, its fears,"
517,"Its voice mysterious, which whoso hears"
518,"Must think on what will be, and what has been."
519,"E’en now, dear George, while this for you I write,"
520,Cynthia is from her silken curtains peeping
521,"So scantly, that it seems her bridal night,"
522,And she her half-discover’d revels keeping.
523,"But what, without the social thought of thee,"
524,Would be the wonders of the sky and sea?
525,O soft embalmer of the still midnight!
526,Shutting with careful fingers and benign
527,"Our gloom-pleased eyes, embower’d from the light,"
528,Enshaded in forgetfulness divine;
529,"O soothest Sleep! if so it please thee, close,"
530,"In midst of this thine hymn, my willing eyes,"
531,"Or wait the amen, ere thy poppy throws"
532,Around my bed its lulling charities;
533,"Then save me, or the passèd day will shine"
534,"Upon my pillow, breeding many woes;"
535,"Save me from curious conscience, that still lords"
536,"Its strength for darkness, burrowing like a mole;"
537,"Turn the key deftly in the oilèd wards,"
538,And seal the hushèd casket of my soul.
539,
540,"To one who has been long in city pent,"
541,’Tis very sweet to look into the fair
542,"And open face of heaven,to breathe a prayer"
543,Full in the smile of the blue firmament.
544,"Who is more happy, when, with hearts content,"
545,Fatigued he sinks into some pleasant lair
546,"Of wavy grass, and reads a debonair"
547,And gentle tale of love and languishment?
548,"Returning home at evening, with an ear"
549,"Catching the notes of Philomel,an eye"
550,"Watching the sailing cloudlet’s bright career,"
551,He mourns that day so soon has glided by:
552,E’en like the passage of an angel’s tear
553,That falls through the clear ether silently.
554,Son of the old Moon-mountains African!
555,Chief of the Pyramid and Crocodile!
556,"We call thee fruitful, and that very while"
557,A desert fills our seeing’s inward span:
558,"Nurse of swart nations since the world began,"
559,Art thou so fruitful? or dost thou beguile
560,"Such men to honour thee, who, worn with toil,"
561,Rest for a space ‘twixt Cairo and Decan?
562,O may dark fancies err! They surely do;
563,‘Tis ignorance that makes a barren waste
564,Of all beyond itself. Thou dost bedew
565,"Green rushes like our rivers, and dost taste"
566,"The pleasant sunrise. Green isles hast thou too,"
567,And to the sea as happily dost haste.
568,
569,"The church bells toll a melancholy round,"
570,"Calling the people to some other prayers,"
571,"Some other gloominess, more dreadful cares,"
572,More harkening to the sermon’s horrid sound.
573,Surely the mind of man is closely bound
574,In some black spell; seeing that each one tears
575,"Himself from fireside joys, and Lydian airs,"
576,And converse high of those with glory crown’d
577,"Still, still they too, and I should feel a damp, –"
578,"A chill as from a tomb, did I not know"
579,That they are dying like an outburnt lamp;
580,"That ’tis their sighing, wailing ere they go"
581,"Into oblivion; – that fresh flowers will grow,"
582,And many glories of immortal stamp.
583,
584,Nature withheld Cassandra in the skies
585,For more adornment a full thousand years;
586,"She took their cream of Beauty’s fairest dyes,"
587,And shap’d and tinted her above all Peers:
588,"Meanwhile Love kept her dearly with his wings,"
589,And underneath their shadow fill’d her eyes
590,With such a richness that the cloudy Kings
591,Of high Olympus utter’d slavish sighs.
592,When from the Heavens I saw her first descend
593,"My heart took fire, and only burning pains"
594,They were my pleasures  they my Life’s sad end;
595,Love pour’d her beauty into my warm veins…
596,
597,"What though, for showing truth to flatter’d state,"
598,"Kind Hunt was shut in prison, yet has he,"
599,"In his immortal spirit, been as free"
600,"As the sky-searching lark, and as elate."
601,Minion of grandeur! think you he did wait?
602,"Think you he nought but prison walls did see,"
603,"Till, so unwilling, thou unturn’dst the key?"
604,"Ah, no! far happier, nobler was his fate!"
605,"In Spenser’s halls he strayed, and bowers fair,"
606,Culling enchanted flowers; and he flew
607,With daring Milton through the fields of air:
608,To regions of his own his genius true
609,Took happy flights. Who shall his fame impair
610,"When thou art dead, and all thy wretched crew?"
611,"index,text,author"
612,",Highmindedness, a jealousy for good,"
613,"A loving-kindness for the great man’s fame,"
614,"Dwells here and there with people of no name,"
615,"In noisome alley, and in pathless wood:"
616,"And where we think the truth least understood,"
617,"Oft may be found a “singleness of aim,”"
